Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
mlt,msa,Maltese,Malay (macrolanguage),208,1156,1651705,17694811,0.00012593,0.002405787,3.091892208,0.000994442,1.927609001
msa,mlt,Malay (macrolanguage),Maltese,208,1651705,1156,17694811,0.179930796,0.002405787,3.091892208,0.000994442,1.927609001
heb,spa,Hebrew,Spanish,205,3384,2043468,17694811,0.00010032,-0.002375913,-3.396373355,0.000341432,0.524567758
spa,heb,Spanish,Hebrew,205,2043468,3384,17694811,0.060579196,-0.002375913,-3.396373355,0.000341432,0.524567758
aze,msa,Azerbaijani,Malay (macrolanguage),202,1261,1651705,17694811,0.000122298,0.001939826,2.493042264,0.006332737,1.716128199
msa,aze,Malay (macrolanguage),Azerbaijani,202,1651705,1261,17694811,0.160190325,0.001939826,2.493042264,0.006332737,1.716128199
fil,sqi,Filipino (macrolanguage),Albanian,194,257611,5155,17694811,0.037633366,0.003288653,1.669171171,0.047542338,2.584964511
sqi,fil,Albanian,Filipino (macrolanguage),194,5155,257611,17694811,0.000753073,0.003288653,1.669171171,0.047542338,2.584964511
fil,hbs,Filipino (macrolanguage),Serbo-Croatian,194,257611,8152,17694811,0.023797841,0.001656047,0.840531006,0.200305752,1.634628564
hbs,fil,Serbo-Croatian,Filipino (macrolanguage),194,8152,257611,17694811,0.000753073,0.001656047,0.840531006,0.200305752,1.634628564
ara,ita,Arabic,Italian,191,366643,89242,17694811,0.002140248,-0.009286585,-5.623352194,9.37E-09,0.10329198
ita,ara,Italian,Arabic,191,89242,366643,17694811,0.000520943,-0.009286585,-5.623352194,9.37E-09,0.10329198
spa,tur,Spanish,Turkish,191,2043468,233158,17694811,0.000819187,-0.041457103,-59.31386002,0,0.007093509
tur,spa,Turkish,Spanish,191,233158,2043468,17694811,9.35E-05,-0.041457103,-59.31386002,0,0.007093509
ell,spa,Modern Greek (1453-),Spanish,188,30609,2043468,17694811,9.20E-05,-0.014241343,-20.36004303,1.93E-92,0.05318471
spa,ell,Spanish,Modern Greek (1453-),188,2043468,30609,17694811,0.006141984,-0.014241343,-20.36004303,1.93E-92,0.05318471
fra,rus,French,Russian,182,147843,243159,17694811,0.000748481,-0.009864306,-4.864419961,5.74E-07,0.089583124
rus,fra,Russian,French,182,243159,147843,17694811,0.001231036,-0.009864306,-4.864419961,5.74E-07,0.089583124
